ticketId,title,description,assignedTo,companyName,branchName,statusName,Location Remark,Possible Reason,Assignee Changed,Category,Reassigned
112800,"RFQ - Rodriguez, Figueroa and Sanchez - 01 Jul",Quality throughout beautiful instead ahead despite measure ago.,lrobinson@pacheco-smith.com,"Henderson, Ramirez and Lewis",Curtisfurt,Open,,Images in email body,Yes,RFQ,Yes
112801,PO - Blair PLC - 30 Jun,Bad fall pick those gun court attorney product significant world talk term.,shawn52@yahoo.com,Clark-Adams,New Cynthiaside,Open,East Steven,Missing data,No,Uncategorized,No
112802,RFQ - Mayo-Bowman - 26 Nov,Range successful simply director allow firm environment decision wall then.,dianafoster@hotmail.com,Thomas-Taylor,Juliechester,Open,Coxberg,Images in email body,Yes,RFQ,Yes
112803,"RFQ - Snyder, Campos and Callahan - 26 May",Civil quite others his other life edge network wall quite boy those seem shoulder future fall.,usmith@baker.com,"Evans, Fowler and Lynch",West Kathryn,Open,,Images in email body,No,RFQ,No
112804,Other - Hickman LLC - 18 Apr,Drive note bad rule staff within mouth call.,josephbrennan@yahoo.com,Hickman Ltd,Lake Larry,Open,,,No,RFQ,No
112805,Other - Martinez-Walker - 03 Jan,Open discover detail audience piece director town.,palmerjoshua@yahoo.com,Ryan Ltd,Sanchezfort,Closed,,Images in email body,No,Uncategorized,No
112806,"RFQ - Jordan, Henderson and Owens - 13 Aug",Pull worker better I fund technology eat.,ltaylor@ford-baxter.com,Morton-Chase,North Deniseside,Open,,Unreadable content,No,RFQ,No
112807,Other - Russell Group - 18 Jul,Total clearly able hospital unit size expect recent room situation product main couple.,rileyamy@edwards.net,Brown PLC,Port Jacobland,Closed,South David,,No,Uncategorized,No
112808,"RFQ - Sanchez, Wheeler and Harvey - 12 Jul",North first end prove fire enter capital population lead upon very act perform none beyond Mrs.,sarahibarra@gmail.com,Mitchell-Kim,Cherylhaven,Closed,Lake Lisaport,Missing data,No,RFQ,No
112809,"Other - Garcia, Humphrey and Baker - 14 Apr",Choice example decision garden reach table measure economy traditional anything plant stop analysis four capital.,joycearnold@yahoo.com,"Smith, Jones and Ware",New Barry,Open,Brandiberg,Unreadable content,Yes,RFQ,Yes
112810,Other - Anderson-Parker - 05 Mar,Together decide economic bill sister this image.,michellecherry@keith.com,"Middleton, Patton and Jenkins",West Erik,Open,,Unreadable content,No,Uncategorized,No
112811,Other - Gonzalez Group - 17 Oct,Star the development process huge everything attorney significant go meeting quickly.,wilsontara@gmail.com,"Estes, Baker and Rodriguez",Reedmouth,Closed,,Images in email body,No,Uncategorized,No
112812,Other - Cruz PLC - 08 Dec,And job mind southern rather vote say culture issue we TV.,cortezkevin@yahoo.com,"Ortiz, Powell and Phillips",East Robert,Open,,,Yes,Uncategorized,Yes
112813,"PO - Carroll, Sullivan and Bass - 05 Sep",Decision size parent focus kid put memory soldier where save probably.,clarence34@gmail.com,Hernandez Inc,South Cheryl,Open,,Unclear content,No,Uncategorized,No
112814,Other - Higgins Group - 23 Aug,During prevent accept seem show blood interesting compare when military anyone eat summer.,lauriecontreras@hotmail.com,"Stewart, Fischer and Ramos",Rivasside,Open,,Unreadable content,Yes,Uncategorized,Yes
112815,RFQ - Green-Wright - 24 May,She miss phone ever back experience even floor music catch discuss.,calebrussell@owens.biz,"Shah, Smith and Gilmore",Woodsstad,Closed,,Location in email body,Yes,RFQ,Yes
112816,"PO - Adkins, Payne and Morrison - 03 Jan",Detail job ahead from quickly identify close level camera performance agree hour north agree.,michellewhite@yahoo.com,Murphy-Gibson,Kathleenfurt,Closed,,,No,Uncategorized,No
112817,Uncategorized - Conley-Ruiz - 21 Dec,Appear weight difference attention whatever American all easy stuff perform draw list boy way let.,gary91@gmail.com,Rodriguez-Johnson,Barbarafurt,Closed,,Location in email body,Yes,Uncategorized,Yes
112818,PO - Vargas Ltd - 12 Jul,Recent feeling range south someone not American mouth.,huntermatthew@yahoo.com,Garcia-Yu,Zimmermanchester,Closed,,Missing data,No,Uncategorized,No
